ID	species	reference	n_reads	n_alns	read_length_mean	read_length_std	read_length_min	read_length_max	read_length_median	read_length_mode	gc_content	read_aligned_length	read_aln_score	mapping_quality	edit_distances	read_ani_mean	read_ani_std	read_ani_median	bases_covered	max_covered_bases	mean_covered_bases	coverage_mean	coverage_mean_trunc	coverage_mean_trunc_len	coverage_covered_mean	reference_length	bam_reference_length	breadth	exp_breadth	breadth_exp_ratio	n_bins	site_density	entropy	norm_entropy	gini	norm_gini	c_v	d_i	cov_evenness	tax_abund_read	tax_abund_aln	tax_abund_tad	n_reads_tad
AF047	Bombiscardovia coagulans strain DSM 22924 Contig_4	MWWS01000004.1	15	3	32.0	26.457.513.110.645.900	30	35	31.0	30	54.166.666.666.666.600	32.0		29.0					72	41	36.0	0.0001311024073679553	0	0	13.333.333.333.333.300	732252	732252	9,83E+10	0.0001310938138229245	0.7500491644768363	38606	0.09832680552596647	15.812.623.704.763.600	0.3697418331174692	0.9998870324799608	0.9526604068857092	36.209.301.782.323.500	17.189.014.084.507.000	0.0	4	4	0	0
AF047	Vairimorpha bombi	GCA_059492115.1_UIUC_Nbom_1_genomic_pseudocromosoma	14	10	39.3	23.865.595.879.145.000	30	107	32.0	30	2.900.763.358.778.620	39.3		34.6					358	107	3.977.777.777.777.770	6,08E+11	0	0	10.782.122.905.027.900	6343490	6343490	5,64E+10	6,08E+11	0.9274893580869933	12	0.056435810571152475	1.604.796.491.637.340	0.6692848171469943	0.632808532249873	0.6935211267605634	4.418.769.209.508.910	11.881.237.665.992.900	0.0	2	2	0	0
AF047	Bifidobacterium bohemicum DSM 22767 Contig5	JGYP01000005.1	11	4	33.5	0.5773502691896257	33	34	33.5	33	6.716.417.910.447.760	33.5		31.0					134	34	33.5	0.000488744291904352	0	0	1.0	274172	274172	0.000488744291904352	0.0004886248758683154	1.0	16	0.48874429190435204	13.861.829.736.025.000	0.5119511333041529	0.7353233830845771	0.78625134264232	0.0	0.0	0.0	15	15	0	0
AF047	Vairimorpha apis	GCA_000447185.1_NapisBRLv01_genomic_pseudocromosoma	10	55	6.649.090.909.090.900	37.505.492.302.620.800	30	153	68.0	30	587.913.590.374.624	6.649.090.909.090.900		3.090.909.090.909.090					1482	179	47.806.451.612.903.200	0.00042250250179685304	0	0	2.458.839.406.207.820	8624801	8624801	0.00017183005149915923	0.00042241326018355174	0.40678185960472385	23	0.17183005149915923	23.887.331.904.445.500	0.7727984666259952	0.6093117408906883	0.6370203160270881	7.355.662.133.700.580	22.859.821.253.762.300	0.0	6	6	0	0
AF047	Schmidhempelia bomdi	GCA_000471645.3_BiG_1.2_genomic_pseudocromosoma	6	6	38.166.666.666.666.600	8.109.665.015.687.550	30	52	38.5	30	47.161.572.052.401.700	38.166.666.666.666.600		33.0					194	52	38.8	0.00010216828767734451	0	0	11.804.123.711.340.200	2241400	2241400	8,66E+09	0.0001021630686756092	0.8472048493126871	21	0.0865530472026412	1.328.529.881.832.340	0.4436418166934177	0.8376288659793815	0.8789561354802888	37.734.356.668.699.700	14.547.555.240.606.200	0.0	3	3	0	0
AF047	Gilliamella mensalis	GCA_900103085.1_LMG29880_genomic_pseudocromosoma	6	5	31.2	13.038.404.810.405.200	30	33	31.0	30	3.333.333.333.333.330	31.2		32.2					124	32	31.0	6,69E+09	0	0	12.338.709.677.419.300	2286107	2286107	5,42E+10	6,69E+10	0.8104846369830004	28	0.054240680773034684	13.855.051.124.773.700	0.4211231502396727	0.8548387096774194	0.8812335958005248	6.350.421.120.031.650	2.698.981.633.609.820	0.0	2	2	0	0
AF047	Vairimorpha ceranae	GCA_000988165.1_ASM98816v1_genomic_pseudocromosoma	5	17	3.264.705.882.352.940	2.804.932.629.997.290	30	41	32.0	31	2.234.234.234.234.230	3.264.705.882.352.940		3.323.529.411.764.700					541	41	31.823.529.411.764.700	9,42E+10	0	0	1.0	5744248	5744248	9,42E+10	9,42E+10	1.0	23	0.09418117045085797	22.001.246.593.438.500	0.7118204716094556	0.6591329188371702	0.687299893276414	0.0	0.0	0.0	3	3	0	0
AF047	Fructobacillus tropaeoli	GCA_016860625.1_ASM1686062v1_genomic_pseudocromosoma	5	6	33.0	5.440.588.203.494.170	30	44	31.0	30	3.939.393.939.393.930	33.0		33.0					169	44	33.8	0.00011288045845429025	0	0	11.715.976.331.360.900	1754068	1754068	9,63E+10	0.00011287408769500296	0.8535835281730548	13	0.09634746201401542	134.443.227.708.976	0.5410804800442702	0.7184418145956608	0.7824675324675325	33.500.112.001.170.600	12.668.094.156.555.600	0.0	3	3	0	0
AF047	Gilliamella apicola	CP007445.1	4	5	32.4	25.099.800.796.022.200	30	36	31.0	31	4.382.716.049.382.710	32.4		28.2					164	37	32.8	5,22E+11	0	0	1.0	3139412	3139412	5,22E+11	5,22E+10	1.0	14	0.052239081713390915	13.071.159.321.714.400	0.5097556464521777	0.7485928705440901	0.8070539419087137	0.0	0.0	0.0	2	2	0	0
AF047	Lactobacillus panisapium	CP048268.1	3	3	37.0	9.643.650.760.992.950	30	48	33.0	30	4.324.324.324.324.320	37.0		25.0					111	48	37.0	5,07E+10	0	0	1.0	2188116	2188116	5,07E+10	5,07E+11	1.0	67	0.05072857197698842	1.076.752.548.142.620	0.2596136521463508	0.9594594594594594	0.970334928229665	0.0	0.0	0.0	1	1	0	0
AF047	Crithidia bombi	GCA_900240985.1_crithidia-bombi.GDC.2013.v1_genomic_pseudocromosoma	3	1632	3.568.872.549.019.600	6.356.363.373.309.430	30	116	34.0	30	3.597.108.715.060.770	3.568.872.549.019.600		3.159.436.274.509.800					28896	116	3.563.008.631.319.350	0.0017968474676912133	0	0	19.935.285.160.575.800	32058926	32058926	0.0009013402382849631	0.0017952341037478226	0.5020739280761651	32	0.9013402382849631	3.402.699.986.054.330	0.9908889717690654	0.14087896974243552	0.14546847383164196	4.918.290.087.745.060	4.346.498.087.273.130	0.0	51	51	0	0
